update,bacteria_pop,phage_pop,lysogen_pop,arbitrium,mean_lysogeny_rate,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,1000,100,0,2,0.0916466,76,24,0,0,0,0,0,0,0,0
1,994,109,0,8,0.0917144,82,27,0,0,0,0,0,0,0,0
2,990,117,0,12,0.0933349,85,32,0,0,0,0,0,0,0,0
3,981,142,0,21,0.0952872,101,41,0,0,0,0,0,0,0,0
4,973,150,2,30,0.0971754,102,50,0,0,0,0,0,0,0,0
5,967,169,2,38,0.100508,104,67,0,0,0,0,0,0,0,0
6,960,185,3,47,0.0995192,119,69,0,0,0,0,0,0,0,0
7,953,209,3,57,0.09875,136,76,0,0,0,0,0,0,0,0
8,946,217,6,68,0.0972061,147,76,0,0,0,0,0,0,0,0
9,934,252,7,84,0.0989846,166,93,0,0,0,0,0,0,0,0
10,932,259,7,91,0.0962761,177,89,0,0,0,0,0,0,0,0
11,925,278,9,103,0.0970333,186,101,0,0,0,0,0,0,0,0
12,912,323,9,122,0.0985756,208,124,0,0,0,0,0,0,0,0
13,900,362,11,141,0.0984244,232,141,0,0,0,0,0,0,0,0
14,887,395,13,162,0.0965233,260,148,0,0,0,0,0,0,0,0
15,866,448,17,191,0.0973626,293,172,0,0,0,0,0,0,0,0
16,860,468,18,207,0.0970701,305,181,0,0,0,0,0,0,0,0
17,849,511,18,228,0.0963864,337,192,0,0,0,0,0,0,0,0
18,840,544,19,248,0.0960207,360,203,0,0,0,0,0,0,0,0
19,820,591,22,279,0.0966528,388,225,0,0,0,0,0,0,0,0
20,806,633,24,305,0.0960951,422,235,0,0,0,0,0,0,0,0
21,797,670,25,327,0.0958188,447,248,0,0,0,0,0,0,0,0
22,786,714,26,352,0.095464,474,266,0,0,0,0,0,0,0,0
23,774,752,27,378,0.0956854,502,277,0,0,0,0,0,0,0,0
24,765,777,30,402,0.0971071,505,302,0,0,0,0,0,0,0,0
25,750,827,33,432,0.0982142,523,337,0,0,0,0,0,0,0,0
