update,bacteria_pop,phage_pop,lysogen_pop,arbitrium,mean_lysogeny_rate,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,1000,100,0,0,0.27494,4,22,50,21,2,1,0,0,0,0
1,994,100,2,6,0.275324,4,18,56,22,2,0,0,0,0,0
2,991,97,3,9,0.275342,4,17,56,21,2,0,0,0,0,0
3,987,95,5,13,0.281999,4,16,52,26,2,0,0,0,0,0
4,983,95,6,17,0.282647,4,15,54,27,1,0,0,0,0,0
5,973,115,8,28,0.277749,3,23,65,31,1,0,0,0,0,0
6,970,107,11,32,0.279441,3,23,59,32,1,0,0,0,0,0
7,966,112,12,37,0.27762,3,25,64,31,1,0,0,0,0,0
8,959,117,16,46,0.273336,5,30,63,34,1,0,0,0,0,0
9,955,120,18,52,0.272333,5,31,69,33,0,0,0,0,0,0
10,945,146,18,64,0.277097,5,42,70,47,0,0,0,0,0,0
11,942,136,22,70,0.277358,4,42,66,46,0,0,0,0,0,0
12,939,139,24,76,0.28072,4,37,76,46,0,0,0,0,0,0
13,932,151,27,86,0.273532,4,43,87,44,0,0,0,0,0,0
14,926,157,30,95,0.271345,3,49,92,43,0,0,0,0,0,0
15,924,154,33,101,0.271938,2,47,97,41,0,0,0,0,0,0
16,917,160,37,111,0.267936,2,55,99,41,0,0,0,0,0,0
17,910,166,41,122,0.273855,2,54,101,50,0,0,0,0,0,0
18,908,160,44,128,0.272474,2,58,96,48,0,0,0,0,0,0
19,906,165,44,134,0.273618,4,54,100,51,0,0,0,0,0,0
20,905,171,44,139,0.26962,7,57,99,52,0,0,0,0,0,0
21,901,178,46,147,0.269543,8,56,109,51,0,0,0,0,0,0
22,899,185,46,153,0.268108,8,57,118,48,0,0,0,0,0,0
23,894,195,47,162,0.271017,10,56,120,56,0,0,0,0,0,0
24,897,189,47,164,0.272442,10,55,113,58,0,0,0,0,0,0
25,895,189,49,171,0.273889,8,57,115,58,0,0,0,0,0,0
26,892,193,50,179,0.270654,8,60,120,55,0,0,0,0,0,0
27,893,181,52,183,0.268271,8,62,112,51,0,0,0,0,0,0
28,888,191,53,192,0.270345,7,64,117,56,0,0,0,0,0,0
29,886,182,56,199,0.269998,7,60,118,53,0,0,0,0,0,0
30,881,197,58,209,0.2708,7,59,137,52,0,0,0,0,0,0
31,877,209,58,218,0.268826,7,64,147,49,0,0,0,0,0,0
32,875,215,59,225,0.266141,7,72,146,49,0,0,0,0,0,0
33,869,226,61,236,0.264998,7,76,154,50,0,0,0,0,0,0
34,867,225,64,244,0.263603,6,78,156,49,0,0,0,0,0,0
35,865,233,64,251,0.260684,6,82,165,44,0,0,0,0,0,0
36,863,239,65,259,0.259483,6,86,169,43,0,0,0,0,0,0
37,859,247,67,269,0.259706,6,86,176,46,0,0,0,0,0,0
38,855,255,70,279,0.260351,5,89,183,48,0,0,0,0,0,0
39,856,258,70,284,0.260106,5,90,186,47,0,0,0,0,0,0
40,848,273,73,298,0.261169,5,95,193,53,0,0,0,0,0,0
41,844,289,73,308,0.260038,5,102,202,53,0,0,0,0,0,0
42,843,286,76,316,0.261463,4,100,205,53,0,0,0,0,0,0
43,834,285,82,331,0.259064,4,102,211,50,0,0,0,0,0,0
44,825,307,84,347,0.257419,4,109,230,48,0,0,0,0,0,0
45,822,310,86,357,0.258633,4,108,231,53,0,0,0,0,0,0
